X, Y, Z, Time
x:1.487001,y:-0.2029999,z:1.386,time:1.347894
x:1.487001,y:-0.2029999,z:1.386,time:1.347894
x:1.487001,y:-0.2029999,z:1.386,time:1.350217
x:1.487001,y:-0.2029999,z:1.386,time:1.350217
x:1.487001,y:-0.2029999,z:1.386,time:1.352456
x:1.487001,y:-0.2029999,z:1.386,time:1.352456
x:1.487001,y:-0.2029999,z:1.386,time:1.354769
x:1.487001,y:-0.2029999,z:1.386,time:1.354769
x:1.487001,y:-0.2029999,z:1.386,time:1.357216
x:1.487001,y:-0.2029999,z:1.386,time:1.357216
x:1.487001,y:-0.2029999,z:1.386,time:1.359708
x:1.487001,y:-0.2029999,z:1.386,time:1.359708
x:1.487001,y:-0.2029999,z:1.386,time:1.362072
x:1.487001,y:-0.2029999,z:1.386,time:1.362072
x:1.487001,y:-0.2029999,z:1.386,time:1.364516
x:1.487001,y:-0.2029999,z:1.386,time:1.364516
